alongside, [ə`lɔŋ`saɪd] adv.prep.並排(地)
imperative, [ɪm`pɛrətɪv] adj.必要的；命令式的
intruder, [ɪn`trudɚ] n.侵入者
implement, [`ɪmpləmənt] n.器具 vt.實施
invaluable, [ɪn`væ ljəb!] adj.無價的
implication, [͵ɪmplɪ`keʃən] n.暗示；牽連
inventory, [`ɪnvən͵torɪ] n.存貨清單；庫存
implicit, [ɪm`plɪsɪt] adj.含蓄的
investigator, [ɪn`vɛstə͵getɚ] n.調查者
imposing, [ɪm`pozɪŋ] adj.壯觀的；
intelligence quotient, [ɪn`tɛlədʒəns] [`kwoʃənt] n.智力商數
imprison, [ɪm`prɪzn] vt.監禁
imprisonment, [ɪm`prɪznmənt] n.監禁
ironic, [aɪ`rɑnɪk] adj.冷嘲的
incentive, [ɪn`sɛntɪv] n.動機
irony, [àɪrənɪ] n.諷刺
incidental, [͵ɪnsə`dɛnt!] adj.附帶的；偶然發生的
irritable, [`ɪrətəb!] adj.易怒的
irritate, [`ɪrə͵tet] vt.vi.使惱怒
incline, [ɪn`klaɪn] vi.vt.傾斜；心裡傾向
irritation, [͵ɪrə`teʃən] n.惱怒
inclusive, [ɪn`klusɪv] adj.包含的
joyous, [`dʒɔɪəs] adj.快樂的
indignation, [͵ɪndɪg`neʃən] n.憤慨
legitimate, [lɪ`dʒɪtəmɪt] adj.合法的；正統的
lengthy, [`lɛŋθɪ] adj.長的
missionary, [`mɪʃən͵ɛrɪ] adj.傳教的 n.傳教士
liable, [`laɪəb!] adj.易...的；有義務的
mobilize, [`mob!͵aɪz] vt.vi.動員
liberate, [`lɪbə͵ret] vt.解放；使獲自由
modernization, [͵mɑdɚnə`zeʃən] n.現代化
liberation, [͵lɪbə`reʃən] n.解放
mold, [mold] n.模型
likewise, [`laɪk͵waɪz] adv.同樣地
momentum, [mòmɛntəm] n.動力
limousine, [`lɪmə͵zin] n.大型豪華轎車(limo)
monopoly, [mə`nɑp!ɪ] n.獨佔；壟斷
liner, [`laɪnɚ] n.班機
monotonous, [mə`nɑtənəs] adj.單調的
linguist, [`lɪŋgwɪst] n.語言學者
monotony, [mə`nɑtənɪ] n.單調
morale, [mə`ræ l] n.道德；士氣
liter, [`litɚ] n.公升
morality, [mə`ræ lətɪ] n.道德
literacy, [`lɪtərəsɪ] n.識字
motto, [`mɑto] n.座右銘
literal, [`lɪtərəl] adj.照字面的
mournful, [`mornfəl] adj.憂傷的
literate, [`lɪtərɪt] adj.能讀寫的；識字的
mouthpiece, [`maʊθ͵pis] n.(樂器的)吹口
longevity, [lɑn`dʒɛvətɪ] n.長壽
spokesperson, [`spoks͵pɝsn] n.代言人(spokesman/spokeswoman)
lounge, [laʊndʒ] n.休息室；會客廳；候機室
lunatic, [`lunə͵tɪk] adj.瘋的
municipal, [mjùnɪsəp!] adj.市政的；地方自治的
lure, [lʊr] vt.n.引誘
lush, [lʌʃ] adj.蒼翠繁茂的
mute, [mjut] adj.沈默的；啞的；無聲的
lyric, [`lɪrɪk] n.抒情的 n.抒情詩；歌詞
mythology, [mɪ`θɑlədʒɪ] n.神話
magnitude, [`mæ gnə͵tjud] n.重要；強度；(地震)震級
narrate, [næ `ret] vt.vi.敘述；作旁白
narrative, [`næ rətɪv] n.記敘文 adj.敘述的
malaria, [mə`lɛrɪə] n.瘧疾
narrator, [næ `retɚ] n.敘述者；旁白
manipulate, [mə`nɪpjə͵let] vt.操作；操弄
nationalism, [`næ ʃən!ɪzəm] n.民族主義
manuscript, [`mæ njə͵skrɪpt] n.手稿 adj.手寫的；原稿的
naturalist, [`næ tʃərəlɪst] n.博物學家；自然主義者
naval, [`nev!] adj.海軍的
mar, [mɑr] n.污點
navel, [`nev!] n.肚臍
massacre, [`mæ səkɚ] n.大屠殺
navigation, [͵nævə`geʃən] n.航海；導航
mastery, [`mæ stərɪ] n.支配；熟練
negotiation, [nɪ͵goʃɪèʃən] n.談判
materialism, [mə`tɪrɪəl͵ɪzəm] n.物質主義
neon, [`ni͵ɑn] n.霓虹燈
mattress, [`mæ trɪs] n.床墊
neutral, [`njutrəl] adj.中立的；不確定的
mechanism, [`mɛkə͵nɪzəm] n.機械裝置
newlywed, [`njulɪ͵wɛd] n.新婚夫婦
medication, [͵mɛdɪ`keʃən] n.藥物
newscaster, [`njuz͵kæstɚ] n.新聞廣播員(anchorman/anchorwoman)
medieval, [͵mɪdɪìvəl] adj.中世紀的；老式的 
meditate, [`mɛdə͵tet] vi.vt.計劃；沈思
nomination, [͵nɑmə`neʃən] n.提名；任命
meditation, [͵mɛdə`teʃən] n.沈思；冥想
nominee, [͵nɑmə`ni] n.被提名人
melancholy, [`mɛlən͵kɑlɪ] n.adj.憂鬱(的)
norm, [nɔrm] n.基準；常模
mellow, [`mɛlo] adj.成熟的；圓潤的
notorious, [nòtorɪəs] adj.惡名昭彰的
mentality, [mɛn`tæ lətɪ] n.智力
nourish, [`nɝɪʃ] vt.養育；滋養
merchandise, [`mɝtʃən͵daɪz] n.商品
nourishment, [`nɝɪʃmənt] n.養育；滋養
merge, [mɝdʒ] vt.vi.合併
nuisance, [`njusns] n.討厭的人(或事物)
metaphor, [`mɛtəfɚ] n.隱喻
nurture, [`nɝtʃɚ] n.vt.教養；培育
metropolitan, [͵mɛtrə`pɑlətn] n.大都市的
nutrient, [`njutrɪənt] adj.營養的 n.營養物
migrate, [`maɪ͵gret] vi.遷移
nutrition, [njùtrɪʃən] n.營養(學)
migration, [maɪ`greʃən] n.遷移
nutritious, [njùtrɪʃəs] adj.有營養的
militant, [`mɪlətənt] adj.好戰的 n.好戰者
obligation, [͵ɑblə`geʃən] n.義務；責任
miller, [`mɪlɚ] n.磨坊主
oblige, [ə`blaɪdʒ] vt.迫使；使…感激
mimic, [`mɪmɪk] vt.模仿 n.善模仿的人；小丑 
obscure, [əb`skjʊr] adj.暗的；模糊的 vt.遮掩；混淆
miniature, [`mɪnɪətʃɚ] adj.小型的
minimize, [`mɪnə͵maɪz] vt.使縮到最小
offering, [`ɔfərɪŋ] n.供奉；祭品
miraculous, [mɪ`ræ kjələs] adj.奇蹟般的
offspring, [`ɔf͵sprɪŋ] n.子女；後代
mischievous, [`mɪstʃɪvəs] adj.惡作劇的
operational, [͵ɑpə`reʃən!] adj.操作上的
pharmacist, [`fɑrməsɪst] n.藥劑師
opposition, [͵ɑpə`zɪʃən] n.反對；對抗
pharmacy, [`fɑrməsɪ] n.藥房
oppress, [ə`prɛs] vt.壓迫
phase, [fez] n.階段 vt.vi.分階段進行
oppression, [ə`prɛʃən] n.壓迫
photographic, [͵fotə`græ fɪk] adj.攝影的；逼真的
option, [`ɑpʃən] n.選擇(權)
picturesque, [͵pɪktʃə`rɛsk] adj.圖畫般的
optional, [`ɑpʃən!] adj.非必要的；可選擇的
pierce, [pɪrs] vt.vi.刺穿
ordeal, [ɔr`diəl] n.苦難；嚴峻考驗
piety, [`paɪətɪ] n.虔誠；孝順
orderly, [`ɔrdɚlɪ] adj.整齊的；有秩序的 adv.按順序地
pious, [`paɪəs] adj.虔誠的
pipeline, [`paɪp͵laɪn] n.導管；輸油管
organism, [`ɔrgən͵ɪzəm] n.生物；有機體
pitcher, [`pɪtʃɚ] n.投手；水壺
originality, [ə͵rɪdʒə`næ lətɪ] n.創意；新穎
plight, [plaɪt] n.誓約；困境
originate, [ə`rɪdʒə͵net] vi.發源 vt.引起
pneumonia, [njùmonjə] n.肺炎
outbreak, [àʊt͵brek] n.爆發
poach, [potʃ] vt.盜獵；水煮
outfit, [àʊt͵fɪt] n.全套服裝/裝備
poacher, [`potʃɚ] n.盜獵者；蒸鍋
outing, [àʊtɪŋ] n.郊遊；遠足
pollutant, [pə`lutənt] n.污染物 adj.受汙染的
outlaw, [àʊt͵lɔ] n.罪犯 vt.宣布…為不合法
ponder, [`pɑndɚ] vt.vi.沈思；仔細考慮
outlet, [àʊt͵lɛt] n 出口；銷路
populate, [`pɑpjə͵let] vt.居住於…
outlook, [àʊt͵lʊk] n.觀點；景色 vt.比…好看 vi.朝外看
posture, [`pɑstʃɚ] n.姿勢
precede, [prìsid] vt.vi.處在(...)之前；優於
outnumber, [aʊt`nʌmbɚ] vt.數量上超過
precedent, [`prɛsədənt] n.先例 adj.在前的
outrage, [àʊt͵redʒ] vt.激怒 n.惡行
precision, [prɪ`sɪʒən] n.精確
outrageous, [aʊt`redʒəs] adj.粗暴的、可憎的
predecessor, [`prɛdɪ͵sɛsɚ] n.前任
outright, [àʊt`raɪt] adj.直率的 adv.徹底地
prediction, [prɪ`dɪkʃən] n.預言
outset, [àʊt͵sɛt] n.最初
preface, [`prɛfɪs] n.序言
overhead, [òvɚ`hɛd] adj.在頭頂上的
prejudice, [`prɛdʒədɪs] n.偏見
overlap, [͵ovɚ`læ p] vt.vi.(與...)部分重疊
preliminary, [prɪ`lɪmə͵nɛrɪ] adj.預備的 n.初步
overturn, [͵ovɚ`tɝn] vt.vi.(使)傾覆
premature, [͵primə`tjʊr] adj.過早的；不成熟的
pact, [pæ kt] n.契約
premier, [`primɪɚ]n.首相 adj.最早的；首要的
pamphlet, [`pæ mflɪt] n.小冊子
prescribe, [prɪ`skraɪb] vt.規定；開處方
paralyze, [`pæ rə͵laɪz] vt.使麻痺、使癱瘓
prescription, [prɪ`skrɪpʃən] n.規定；處方
parliament, [`pɑrləmənt] n.議會；國會
preside, [prɪ`zaɪd] vi.主持；管轄
pathetic, [pə`θɛtɪk] adj.可憐的
presidency, [`prɛzədənsɪ] n.總裁/總統職位
patriotic, [͵petrɪ`ɑtɪk] adj.愛國的
presidential, [prɛzə`dɛnʃəl] adj.總裁/總統的
personal digital assistant, [`pɝsn!] [`dɪdʒɪt!] [ə`sɪstənt] n.個人數位助理(PDA)
prestige, [prɛs`tiʒ] n.名望
presume, [prɪ`zum] vt.vi.擅自(做)；假定
peddle, [`pɛd!] vt.vi.(沿街)叫賣
preventive, [prɪ`vɛntɪv] adj.預防的
pedestrian, [pə`dɛstrɪən] n.行人 adj.徒步的
productivity, [͵prodʌk`tɪvətɪ] n.生產力
peninsula, [pə`nɪnsələ] n.半島
proficiency, [prə`fɪʃənsɪ] n.精通
pension, [`pɛnʃən] n.退休金；養老金
profound, [prə`faʊnd] adj.深刻的；完全的
perception, [pɚ`sɛpʃən] n.感知；觀念
progressive, [prə`grɛsɪv] adj.進步的；革新的
perseverance, [͵pɝsə`vɪrəns] n.堅持不懈；毅力
prohibit, [prə`hɪbɪt] vt.禁止
persevere, [͵pɝsə`vɪr] vi.堅持不懈
prohibition, [͵proə`bɪʃən] n.禁止
persistence, [pɚ`sɪstəns] n.堅持；固執
projection, [prə`dʒɛkʃən] n.設計；發射；預測
persistent, [pɚ`sɪstənt] adj.堅持不懈的；固執的
prone, [pron] adj.易於...的；傾斜的
perspective, [pɚ`spɛktɪv] adj.透視的 n.觀點；遠景
propaganda, [prɑpə`gæ ndə] n.宣傳
propel, [prə`pɛl] vt.推進
pesticide, [`pɛstɪ͵saɪd] n.殺蟲劑
propeller, [prə`pɛlɚ] n.螺旋槳；推進器
petroleum, [pə`trolɪəm] n.石油
prose, [proz] n.散文[U]
petty, [`pɛtɪ] adj.小的；瑣碎的
prosecute, [`prɑsɪ͵kjut] vt.起訴
prosecution, [͵prɑsɪ`kjuʃən] n.起訴
rein, [ren] n.韁繩 vt.駕馭 vi.勒馬
prospective, [prə`spɛktɪv] adj.預期的
reinforce, [͵riɪn`fɔrs] vt.強化
provincial, [prə`vɪnʃəl] adj.省的；地方性的
relay, [rɪ`le] n.接力賽跑 vt.vi.轉播
provoke, [prə`vok] vt.對...挑釁；煽動
relevant, [`rɛləvənt] adj.有關的
prowl, [praʊl] vi.vt.潛行(於)
reliance, [rɪ`laɪəns] n.信賴；依靠
punctual, [`pʌŋktʃʊəl] adj.準時的
relish, [`rɛlɪʃ] n.滋味 vt.品嚐 vi.可口
purify, [`pjʊrə͵faɪ] vt.淨化；精煉
remainder, [rɪ`mendɚ] n.剩餘物
purity, [`pjʊrətɪ] n.純淨
removal, [rɪ`muv!] n.移去
qualification, [͵kwɑləfə`keʃən] n.資格
renaissance, [`rɛnə͵sɑns] n.新生；文藝復興
quarrelsome, [`kwɔrəlsəm] adj.喜歡爭吵的
render, [`rɛndɚ] vt.使成為；付給；提出
quench, [kwɛntʃ] vt.vi.熄滅 vt.解(渴)；壓制
renowned, [rɪ`naʊnd] adj.有名的
query, [`kwɪrɪ] n.vt.vi.詢問
rental, [`rɛnt!] n.租金；租賃 adj.供出租的
questionnaire, [͵kwɛstʃən`ɛr] n.問卷
repress, [rɪ`prɛs] vt.vi.抑制
racism, [`resɪzəm] n.種族主義
resemblance, [rɪ`zɛmbləns] n.相似
radiant, [`redjənt] adj.光芒四射的；容光煥發的
reservoir, [`rɛzɚ͵vɔr] n.蓄水庫
radiate, [`redɪ͵et] vi.輻射 vi.vt.散發；流露
residential, [͵rɛzə`dɛnʃəl] adj.居住的
radiation, [͵redɪèʃən] n.輻射；發光
resistant, [rɪ`zɪstənt] adj.抵抗的 n.抵抗者
radiator, [`redɪ͵etɚ] n.散熱器；輻射體
resolute, [`rɛzə͵lut] adj.堅決的 n.堅定的人
radical, [`ræ dɪk!] adj.根本的；激進的 n.根(號)；部首；激進份子
respective, [rɪ`spɛktɪv] adj.各自的
restoration, [͵rɛstə`reʃən] n.恢復；重建
restraint, [rɪ`strent] n.抑制
raft, [ræ ft] n.橡皮艇；木筏 vt.vi.乘筏(渡河)
retail, [`ritel] n.vt.vi.零售 adj.零售的
raid, [red] n.vt.vi.襲擊、劫掠
retaliate, [rɪ`tæ lɪ͵et] vi.vt.報復
random, [`ræ ndəm] n.任意行動 adj.隨機的
retrieve, [rɪ`triv] vt.重獲；挽回 vi.銜回獵物
ransom, [`ræ nsəm] n.贖金
revelation, [rɛv!èʃən] n.揭示；顯示；天啟
rash, [ræ ʃ] n.疹子 adj.輕率的
revenue, [`rɛvə͵nju] n.收入
rational, [`ræ ʃən!] adj.理性的 n.有理數
revival, [rɪ`vaɪv!] n.甦醒；重振
ravage, [`ræ vɪdʒ] vt.使荒蕪 vi.n.毀滅；蹂躪
rhetoric, [`rɛtərɪk] n.修辭
realism, [`riəl͵ɪzəm] n.現實性
rhythmic, [`rɪðmɪk] adj.有節奏的
realization, [͵riələ`zeʃən] n.領悟；實現
ridicule, [`rɪdɪkjul] n.vt.嘲笑
rebellion, [rɪ`bɛljən] n.反叛
rigorous, [`rɪgərəs] adj.嚴格的
recession, [rɪ`sɛʃən] n.後退；衰退
riot, [`raɪət] n.vi.暴亂；喧鬧
recipient, [rɪ`sɪpɪənt] n.接受者 adj.接受的
rite, [raɪt] n.儀式
recommendation, [͵rɛkəmɛn`deʃən] n.推薦
ritual, [`rɪtʃʊəl] n.adj.儀式(的)
reconcile, [`rɛkənsaɪl] vt.使和解
rivalry, [`raɪv!rɪ] n.競爭
recreational, [͵rɛkrɪèʃən!] adj.消遣的
rotate, [`rotet] vi.vt.(使)旋轉、輪流
recruit, [rɪ`krut] vt.vi.徵募 n.新兵；新手
rotation, [ròteʃən] n.旋轉；輪流
recur, [rɪ`kɝ] vi.再發生；返回
royalty, [`rɔɪəltɪ] n.王位；皇族
ruby, [`rubɪ] n.紅寶石
redundant, [rɪ`dʌndənt] adj.多餘的
safeguard, [`sef͵gɑrd] vt.n.保護
refine, [rɪ`faɪn] vt.vi.提煉；改善
saloon, [sə`lun] n.交誼廳；酒吧
refinement, [rɪ`faɪnmənt] n.提煉；改善
salvation, [sæ l`veʃən] n.拯救
reflective, [rɪ`flɛktɪv] adj.反射的
sanction, [`sæŋkʃən] n.vt.認可；制裁
refreshment, [rɪ`frɛʃmənt] n.精力恢復[U]；茶點；點心[C]
sanctuary, [`sæŋktʃʊ͵ɛrɪ] n.教堂；庇護所
sane, [sen] adj.神志正常的；健全的
refund, [`ri͵fʌnd] n. 退款；償還
sanitation, [͵sænə`teʃən] n.公共衛生
refund, [rɪ`fʌnd] vt.vi.退款；償還
scenic, [`sinɪk] adj.風景的；戲劇的
regardless, [rɪ`gɑrdlɪs] adj.不關心(注意)的
scope, [skop] n.範圍；領域
regime, [rɪ`ʒim] n.政體；政權
script, [skrɪpt] n.筆跡；腳本 vt.編為劇本
rehearsal, [rɪ`hɝs!] n.排練
sector, [`sɛktɚ] n.扇形；部分
rehearse, [rɪ`hɝs] vt.vi.排練
seduce, [sɪ`djus] vt.誘惑
selective, [sə`lɛktɪv] adj.有選擇性的
seminar, [`sɛmə͵nɑr] n.研討班；專題研討會
specialize, [`spɛʃəl͵aɪz] vi.專攻 vt.使專門化
senator, [`sɛnətɚ] n.參議員
specialty, [`spɛʃəltɪ] n.特產；專業
sentimental, [͵sɛntə`mɛnt!] adj.多情的
specify, [`spɛsə͵faɪ] vt.具體指明
sequence, [`sikwəns] n.連續；後果
spectacular, [spɛk`tæ kjəlɚ] adj.壯觀的
serene, [sə`rin] adj.安詳的；平靜的
spectrum, [`spɛktrəm] n.光譜
serenity, [sə`rɛnətɪ] n.晴朗；平靜
speculate, [`spɛkjə͵let] vi.思索 vt.推測
serving, [`sɝvɪŋ] n.服務；(食物)一份
sphere, [sfɪr] n.球體；領域
session, [`sɛʃən] n.會議；開庭；講習班
spike, [spaɪk] n.大釘；釘鞋 vt.用尖物刺穿；扣殺【排球】
setback, [`sɛt͵bæk] n.挫折
sewer, [`suɚ] n.污水管；下水道
shed, [ʃɛd] n.棚 vt.vi.流出；散發
spiral, [`spaɪrəl] n.螺旋 adj.螺旋(形)的 vi.盤旋 vt.使呈螺旋形
sheer, [ʃɪr] adj.全然的 adv.十足地
shilling, [`ʃɪlɪŋ] n.先令
spire, [spaɪr] n.尖塔 vt.給…裝尖頂 vi.聳立
shoplift, [`ʃɑp͵lɪft] vi.vt.在商店內順手牽羊
spokesperson, [`spoks͵pɝsn] n.發言人
spokesman, [`spoksmən] n.發言人
spokeswoman, [`spoks͵wʊmən] n.發言人
shrewd, [ʃrud] adj.精明的；狡猾的
shun, [ʃʌn] vt.躲開
siege, [sidʒ] n.vt.圍攻
sponsor, [`spɑnsɚ] n.發起者；贊助者 vt.資助
signify, [`sɪgnə͵faɪ] vt.表示；意味著
spontaneous, [spɑn`tenɪəs] adj.自發的
silicon, [`sɪlɪkən] n.矽
spouse, [spaʊz] n.配偶
simplicity, [sɪm`plɪsətɪ] n.簡單；樸素
sprawl, [sprɔl] vi.vt.伸開四肢躺；(使) 蔓生
simplify, [`sɪmplə͵faɪ] vt.簡化
squad, [skwɑd] n.小隊
simultaneous, [͵saɪm!`tenɪəs] adj.同步的
squash, [skwɑʃ] vt.vi.(把…)壓扁(壓碎) n.擠壓；回力球；南瓜屬植物
skeptical, [`skɛptɪk!] adj.懷疑的
skim, [skɪm] vt.vi.掠過；瀏覽
stability, [stə`bɪlətɪ] n.穩定(性)
slang, [slæŋ] n.俚語
stabilize, [`steb!͵aɪz] vt.vi.(使)穩定
slash, [slæ ʃ] vt.vi.砍；鞭打 n.砍痕；斜線
stalk, [stɔk] vt.vi.n.悄悄追蹤
slavery, [`slevərɪ] n.奴隸身分；奴役
stammer, [`stæ mɚ] vi.vt.n.口吃
slot, [slɑt] n.狹縫；投幣口
staple, [`step!] n.主食；訂書釘 adj.主要的
slum, [slʌm] n.貧民窟
stapler, [`steplɚ] n. 主要產品經營商；釘書機
smack, [smæ k] vt.vi.n 摑巴掌；響吻
starch, [stɑrtʃ] n.澱粉
smallpox, [`smɔl͵pɑks] n.天花
starvation, [stɑr`veʃən] n.飢餓
smother, [`smʌðɚ] vt.vi.(使)窒息
stationary, [`steʃən͵ɛrɪ] adj.不動的
smuggle, [`smʌg!] vt.vi.走私
stationery, [`steʃən͵ɛrɪ] n.文具[U]
snare, [snɛr] n.圈套 vt.(用陷阱等)捕捉
stature, [`stæ tʃɚ] n.身高；身材；高度境界
sneaky, [`snikɪ] adj.鬼鬼祟祟的
steamer, [`stimɚ] n.汽船；蒸鍋；蒸汽機
sneer, [snɪr] vi.vt.嘲諷、冷笑
stimulate, [`stɪmjə͵let] vt.vi.刺激；促使
soar, [sor] vi.n.高飛；暴漲
stimulation, [͵stɪmjə`leʃən] n.刺激；鼓舞
sociable, [`soʃəb!] adj.好交際的
stimulus, [`stɪmjələs] n.刺激(品)；興奮劑
socialism, [`soʃəl͵ɪzəm] n.社會主義
stock, [stɑk] n.存貨；股票 vt.vi.辦貨
socialist, [`soʃəlɪst] n.社會主義者
strangle, [`stræŋg!] vt.vi.勒死；抑制
socialize, [`soʃə͵laɪz] vt.vi.交際；社會化
strategic, [strə`tidʒɪk] adj.戰略的
sociology, [͵soʃɪ`ɑlədʒɪ] n.社會學
stunt, [stʌnt] n.絕技 vt.阻礙 vi.表演絕技
sodium, [`sodɪəm] n.鈉
subjective, [səb`dʒɛktɪv] adj.主觀的；個人的
solidarity, [͵sɑlə`dæ rətɪ] n.團結
subordinate, [sə`bɔrdnɪt] adj.下級的；隸屬的
solitude, [`sɑlə͵tjud] n.孤獨
subscribe, [səb`skraɪb] vt.vi.認捐；訂閱
subscription, [səb`skrɪpʃən] n.認捐；訂閱
soothe, [suð] vt.vi.安慰；緩和
subsequent, [`sʌbsɪ͵kwɛnt] adj.隨後的
sophisticated, [sə`fɪstɪ͵ketɪd] adj.世故的；精緻的；複雜的
substitution, [͵sʌbstə`tjuʃən] n.代替(物)
subtle, [`sʌt!] adj.微妙的；隱約的
sovereignty, [`sɑvrɪntɪ] n.君權；主權
suburban, [sə`bɝbən] adj.郊區的
spacious, [`speʃəs] adj.寬敞的
succession, [sək`sɛʃən] n.連續；繼任
span, [spæ n] n.跨度；一段時間 vt.橫跨；延伸
successive, [sək`sɛsɪv] adj.連續的；後繼的
successor, [sək`sɛsɚ] n.繼承人；接替的事物
transistor, [træ n`zɪstɚ] n.電晶體
suffocate, [`sʌfə͵ket] vt.vi.(使)窒息
transit, [`træ nsɪt] n.vt.vi.運輸；過渡
suite, [swit] n.套房；隨員；套(組)
transition, [træ n`zɪʃən] n.過渡；轉變
superb, [sʊ`pɝb] adj.堂皇的；極好的
transmission, [træ ns`mɪʃən] n.傳輸；傳送
superiority, [sə͵pɪrɪ`ɔrətɪ] n.優越
transmit, [træ ns`mɪt] vt.vi.傳送；發報
supersonic, [͵supɚ`sɑnɪk] adj.n.超音波(的)
transplant, [træ ns`plæ nt] vt.vi.移植；(使)移居
superstitious, [͵supɚ`stɪʃəs] adj.迷信的
trauma, [`trɔmə] n.創傷
supervision, [͵supɚ`vɪʒən] n.監督
tread, [trɛd] vi.vt.踩；踏
supplement, [`sʌpləmənt] n.增補；補給品
treason, [`trizn] n.叛國罪[U]
surpass, [sɚ`pæ s] vt.勝過
trek, [trɛk] n.移居；旅行 vi.艱苦跋涉；移居
surplus, [`sɝpləs] n.adj.過剩(的)；剩餘物
tremor, [`trɛmɚ] n.顫抖；震動
suspense, [sə`spɛns] n.懸而不決；暫停
trespass, [`trɛspəs] vi.n.擅自進入
suspension, [sə`spɛnʃən] n.懸吊；暫停
trigger, [`trɪgɚ] n.扳機 vt.扣扳機；引起
swap, [swɑp] vt.vi.n.交換
triumphant, [traɪ`ʌmfənt] adj.勝利的
symbolic, [sɪm`bɑlɪk] adj.象徵的
trivial, [`trɪvɪəl] adj.瑣細的；不重要的
symbolize, [`sɪmb!͵aɪz] vt.vi.象徵
trophy, [`trofɪ] n.戰利品；獎杯
symmetry, [`sɪmɪtrɪ] n.對稱(性)
symptom, [`sɪmptəm] n.症狀
tropic, [`trɑpɪk] n.回歸線；熱帶[the P] adj.熱帶的
synonym, [`sɪnə͵nɪm] n.同義字
synthetic, [sɪn`θɛtɪk] adj.合成的
truant, [`truənt] n.逃學者 adj.逃學的 vi.逃學
tact, [tæ kt] n.老練；機智；圓滑
truce, [trus] n.停戰
tactic, [`tæ ktɪk] n.戰術；策略
tuberculosis, [tju͵bɝkjə`losɪs] n.結核病[U]
tariff, [`tæ rɪf] n.關稅；稅率
tumor, [`tjumɚ] n.腫瘤
tedious, [`tidɪəs] adj.冗長乏味的
turmoil, [`tɝmɔɪl] n.騷動；混亂[U][C]
temperament, [`tɛmprəmənt] n.氣質；性情
twilight, [`twaɪ͵laɪt] n.薄暮 adj.昏暗的；暮年的
tempest, [`tɛmpɪst] n.暴風雨；騷動
terminate, [`tɝmə͵net] vt.vi.(使)終止
tyranny, [`tɪrənɪ] n.暴政；專橫
textile, [`tɛkstaɪl] n.紡織品 adj.紡織的
ulcer, [`ʌlsɚ] n.潰瘍；弊病
texture, [`tɛkstʃɚ] n.質地；構造
ultimate, [`ʌltəmɪt] adj.最終的；極限的
theatrical, [θɪ`æ trɪk!] adj.戲劇的；誇張的
unanimous, [jʊ`næ nəməs] adj.一致同意的
theft, [θɛft] n.偷竊
uncover, [ʌn`kʌvɚ] vt.揭露
theoretical, [͵θiə`rɛtɪk!] adj.理論的
underestimate, [`ʌndɚ`ɛstə͵met] vt.低估
therapist, [`θɛrəpɪst] n.特定療法技師
undergo, [͵ʌndɚ`go] vt.經歷；接受(治療等)
therapy, [`θɛrəpɪ] n.治療；療法
undermine, [͵ʌndɚ`maɪn] vt.暗中破壞
thereafter, [ðɛr`æ ftɚ] adv.之後
undertake, [͵ʌndɚ`tek] vt.進行；承擔
thereby, [ðɛr`baɪ] adv.由此；從而
undo, [ʌn`du] vt.解開；取消；破壞
thermometer, [θɚ`mɑmətɚ] n.溫度計
unemployment, [͵ʌnɪm`plɔɪmənt] n.失業
threshold, [`θrɛʃhold] n.門檻；開端
unfold, [ʌn`fold] vt.vi.展開
thrift, [θrɪft] n.節儉
unify, [`junə͵faɪ] vt.vi.統一
thrifty, [`θrɪftɪ] adj.節儉的；茂盛的
unlock, [ʌn`lɑk] vt.vi.開…的鎖；解開
thrive, [θraɪv] vi.興旺；繁榮
unpack, [ʌn`pæ k] vt.vi.打開包裹；卸下
throb, [θrɑb] vi.n.跳動；悸動
upbringing, [`ʌp͵brɪŋɪŋ] n.養育；教養
toll, [tol] n.通行費；傷亡人數；鐘聲 vt.vi徵稅；(緩慢而反覆地)敲(鐘)
upgrade, [`ʌp`gred] n.vt.升級 adv.上坡
uphold, [ʌp`hold] vt.舉起；支撐；維持
topple, [`tɑp!] vt.vi.(使) 倒塌
uranium, [jʊ`renɪəm] n.鈾
tornado, [tɔr`nedo] n.龍捲風
urgency, [`ɝdʒənsɪ] n.緊急；急事
trait, [tret] n.特徵；少許
urine, [`jʊrɪn] n.尿
tranquil, [`træŋkwɪl] adj.平靜的
usher, [`ʌʃɚ] n.引座員 vt.vi.招待；迎接
tranquilizer, [`træŋkwɪ͵laɪzɚ] n.鎮定劑
utensil, [jùtɛns!] n.器皿；厨房用具
transaction, [træ n`zæ kʃən] n.交易；辦理
utility, [jùtɪlətɪ] n.效用；公用事業；(水、電、瓦斯類等的)公共設施 adj.實用的
transcript, [`træn͵skrɪpt] n.抄本；成績單
transformation, [͵trænsfɚ`meʃən] n.轉變；變形
utilize, [`jut!͵aɪz] vt.利用
utmost, [`ʌt͵most] adj.極度的 n.極度
vaccine, [`væ ksin] adj.疫苗的 n.疫苗
valiant, [`væ ljənt] adj.英勇的 n.勇士
valid, [`væ lɪd] adj.有根據的；有效的
validity, [və`lɪdətɪ] n.正當；有效性；合法性
vanilla, [və`nɪlə] n.香草 adj.香草的；普通的
variable, [`vɛrɪəb!] adj.多變的 n.可變因素
variation, [͵vɛrɪèʃən] n.變動；差異
vend, [vɛnd] vi.vt.出售
vendor, [`vɛndɚ] n.小販；自動販賣機
verge, [vɝdʒ] n.邊緣 vi.vt.處在(…)邊緣
versatile, [`vɝsət!] adj.多才多藝的；多功能的
version, [`vɝʒən] n.版本；說法
veteran, [`vɛtərən] n.老兵；老手 adj.經驗豐富的
